Age,Gender,Department,Monthly_Income,Total_Experience,Tenure_At_Co,Overtime_Eligible,Attrition_Status
21.0,Male,Marketing,15596.0,37.0,4.0,No,No
55.0,Non-Binary,Engineering,3470.0,24.0,20.0,Yes,No
29.0,Non-Binary,Sales,7818.0,12.0,11.0,No,No
38.0,Female,Marketing,7348.0,17.0,12.0,Yes,No
24.0,Female,Sales,3213.0,19.0,6.0,Yes,No
25.0,Male,Marketing,4197.0,33.0,25.0,Yes,No
21.0,Female,Engineering,10622.0,37.0,19.0,No,No
43.0,Male,Hr,6658.0,23.0,18.0,No,No
55.0,Female,Sales,16358.0,14.0,4.0,Yes,No
21.0,Female,Marketing,6951.0,37.0,27.0,No,No
43.0,Female,Marketing,8873.0,11.0,6.0,Yes,Yes
20.0,Female,Marketing,9423.0,16.0,13.0,No,No
32.0,Male,Finance,5443.0,28.0,13.0,No,No
28.0,Male,Marketing,7093.0,19.0,16.0,Yes,Yes
40.0,Female,Engineering,12055.0,14.0,8.0,Yes,No
59.0,Male,Finance,12510.0,20.0,15.0,Yes,No
35.0,Male,Hr,9035.0,14.0,0.0,No,No
47.0,Male,Marketing,2969.0,10.0,0.0,Yes,No
57.0,Male,Hr,10557.0,1.0,1.0,Yes,No
56.0,Male,Engineering,4975.0,11.0,3.0,Yes,Yes
37.0,Female,Sales,3521.0,14.0,7.0,No,No
29.0,Female,Engineering,3640.0,9.0,3.0,Yes,Yes
52.0,Male,Hr,8398.0,35.0,10.0,No,No
41.0,Female,Finance,4579.0,1.0,1.0,No,Yes
55.0,Male,Finance,17312.0,10.0,8.0,Yes,No
39.0,Male,Engineering,45683.49132420091,32.0,25.0,No,No
42.0,Female,Engineering,7207.0,20.0,12.0,No,No
46.0,Male,Finance,10889.0,26.0,15.0,No,No
25.0,Female,Finance,14106.0,3.0,1.0,No,Yes
32.0,Male,Engineering,5518.0,26.0,11.0,No,No
52.0,Female,Hr,17902.0,23.0,22.0,Yes,No
47.0,Female,Sales,17680.0,10.0,2.0,Yes,No
21.0,Female,Engineering,14202.0,8.0,0.0,Yes,No
31.0,Male,Engineering,17934.0,21.0,14.0,Yes,No
31.0,Female,Sales,45683.49132420091,30.0,29.0,Yes,Yes
49.0,Female,Marketing,10248.0,29.0,26.0,No,Yes
51.0,Non-Binary,Sales,45683.49132420091,12.0,6.0,No,Yes
53.0,Female,Finance,17396.0,39.0,12.0,Yes,No
32.0,Male,Engineering,4144.0,20.0,19.0,No,No
33.0,Female,Hr,8169.0,4.0,4.0,Yes,No
